Detector,Descriptor,ImgNumber,TTC_Lidar,TTC_Camera
SHITOMASI,BRISK,0001,12.2891,12.943
SHITOMASI,BRISK,0002,13.3547,12.4195
SHITOMASI,BRISK,0003,16.3845,12.1033
SHITOMASI,BRISK,0004,14.0764,13.0755
SHITOMASI,BRISK,0005,12.7299,12.7121
SHITOMASI,BRISK,0006,13.7511,29.9129
SHITOMASI,BRISK,0007,13.7314,11.8518
SHITOMASI,BRISK,0008,13.7901,35.5289
SHITOMASI,BRISK,0009,12.059,11.1048
SHITOMASI,BRISK,0010,11.8642,11.6524
SHITOMASI,BRISK,0011,11.9682,12.1722
SHITOMASI,BRISK,0012,9.88711,12.0101
SHITOMASI,BRISK,0013,9.42504,11.2009
SHITOMASI,BRISK,0014,9.30215,10.7891
SHITOMASI,BRISK,0015,8.3212,7.62861
SHITOMASI,BRISK,0016,8.89867,10.8452
SHITOMASI,BRISK,0017,11.0301,11.8415
SHITOMASI,BRISK,0018,8.53557,10.6133
SHITOMASI,BRIEF,0001,12.2891,14.0041
SHITOMASI,BRIEF,0002,13.3547,12.4478
SHITOMASI,BRIEF,0003,16.3845,12.5261
SHITOMASI,BRIEF,0004,14.0764,13.6002
SHITOMASI,BRIEF,0005,12.7299,13.2534
SHITOMASI,BRIEF,0006,13.7511,47.6872
SHITOMASI,BRIEF,0007,13.7314,23.0224
SHITOMASI,BRIEF,0008,13.7901,29.8946
SHITOMASI,BRIEF,0009,12.059,10.7233
SHITOMASI,BRIEF,0010,11.8642,12.2541
SHITOMASI,BRIEF,0011,11.9682,11.6463
SHITOMASI,BRIEF,0012,9.88711,11.8004
SHITOMASI,BRIEF,0013,9.42504,11.056
SHITOMASI,BRIEF,0014,9.30215,11.0007
SHITOMASI,BRIEF,0015,8.3212,10.4388
SHITOMASI,BRIEF,0016,8.89867,11.7957
SHITOMASI,BRIEF,0017,11.0301,11.1681
SHITOMASI,BRIEF,0018,8.53557,9.64049
SHITOMASI,ORB,0001,12.2891,12.4657
SHITOMASI,ORB,0002,13.3547,12.7739
SHITOMASI,ORB,0003,16.3845,13.2474
SHITOMASI,ORB,0004,14.0764,13.0809
SHITOMASI,ORB,0005,12.7299,13.0927
SHITOMASI,ORB,0006,13.7511,35.585
SHITOMASI,ORB,0007,13.7314,11.8004
SHITOMASI,ORB,0008,13.7901,28.5716
SHITOMASI,ORB,0009,12.059,10.7455
SHITOMASI,ORB,0010,11.8642,12.6239
SHITOMASI,ORB,0011,11.9682,11.2199
SHITOMASI,ORB,0012,9.88711,11.567
SHITOMASI,ORB,0013,9.42504,11.056
SHITOMASI,ORB,0014,9.30215,11.1574
SHITOMASI,ORB,0015,8.3212,10.2547
SHITOMASI,ORB,0016,8.89867,11.2036
SHITOMASI,ORB,0017,11.0301,11.1209
SHITOMASI,ORB,0018,8.53557,8.1132
SHITOMASI,FREAK,0001,12.2891,13.9019
SHITOMASI,FREAK,0002,13.3547,13.0927
SHITOMASI,FREAK,0003,16.3845,11.3991
SHITOMASI,FREAK,0004,14.0764,12.807
SHITOMASI,FREAK,0005,12.7299,13.9093
SHITOMASI,FREAK,0006,13.7511,73.6075
SHITOMASI,FREAK,0007,13.7314,12.5645
SHITOMASI,FREAK,0008,13.7901,26.337
SHITOMASI,FREAK,0009,12.059,11.2465
SHITOMASI,FREAK,0010,11.8642,12.7782
SHITOMASI,FREAK,0011,11.9682,11.0399
SHITOMASI,FREAK,0012,9.88711,12.5844
SHITOMASI,FREAK,0013,9.42504,11.678
SHITOMASI,FREAK,0014,9.30215,10.1204
SHITOMASI,FREAK,0015,8.3212,8.49971
SHITOMASI,FREAK,0016,8.89867,10.7161
SHITOMASI,FREAK,0017,11.0301,11.4487
SHITOMASI,FREAK,0018,8.53557,9.73863
SHITOMASI,SIFT,0001,12.2891,13.6546
SHITOMASI,SIFT,0002,13.3547,12.5196
SHITOMASI,SIFT,0003,16.3845,12.0693
SHITOMASI,SIFT,0004,14.0764,12.9209
SHITOMASI,SIFT,0005,12.7299,13.0276
SHITOMASI,SIFT,0006,13.7511,30.0315
SHITOMASI,SIFT,0007,13.7314,14.1184
SHITOMASI,SIFT,0008,13.7901,28.5716
SHITOMASI,SIFT,0009,12.059,10.7233
SHITOMASI,SIFT,0010,11.8642,12.6641
SHITOMASI,SIFT,0011,11.9682,11.9088
SHITOMASI,SIFT,0012,9.88711,11.9352
SHITOMASI,SIFT,0013,9.42504,11.056
SHITOMASI,SIFT,0014,9.30215,10.0063
SHITOMASI,SIFT,0015,8.3212,10.7552
SHITOMASI,SIFT,0016,8.89867,10.2107
SHITOMASI,SIFT,0017,11.0301,11.1061
SHITOMASI,SIFT,0018,8.53557,10.1936
HARRIS,BRISK,0001,12.2891,nan
HARRIS,BRISK,0002,13.3547,0.138901
HARRIS,BRISK,0003,16.3845,-18.2644
HARRIS,BRISK,0004,14.0764,11.36
HARRIS,BRISK,0005,12.7299,-82.1295
HARRIS,BRISK,0006,13.7511,12.9945
HARRIS,BRISK,0007,13.7314,12.2792
HARRIS,BRISK,0008,13.7901,17.0594
HARRIS,BRISK,0009,12.059,nan
HARRIS,BRISK,0010,11.8642,nan
HARRIS,BRISK,0011,11.9682,23.3405
HARRIS,BRISK,0012,9.88711,7.20938
HARRIS,BRISK,0013,9.42504,-inf
HARRIS,BRISK,0014,9.30215,12.1403
HARRIS,BRISK,0015,8.3212,-12.3391
HARRIS,BRISK,0016,8.89867,6.33866
HARRIS,BRISK,0017,11.0301,nan
HARRIS,BRISK,0018,8.53557,nan
HARRIS,BRIEF,0001,12.2891,nan
HARRIS,BRIEF,0002,13.3547,80.7525
HARRIS,BRIEF,0003,16.3845,-18.2644
HARRIS,BRIEF,0004,14.0764,11.36
HARRIS,BRIEF,0005,12.7299,9.58956
HARRIS,BRIEF,0006,13.7511,-inf
HARRIS,BRIEF,0007,13.7314,13.8748
HARRIS,BRIEF,0008,13.7901,12.9162
HARRIS,BRIEF,0009,12.059,3.90277
HARRIS,BRIEF,0010,11.8642,-38.7212
HARRIS,BRIEF,0011,11.9682,23.3405
HARRIS,BRIEF,0012,9.88711,7.20938
HARRIS,BRIEF,0013,9.42504,-inf
HARRIS,BRIEF,0014,9.30215,5.55228
HARRIS,BRIEF,0015,8.3212,-14.7808
HARRIS,BRIEF,0016,8.89867,7.29175
HARRIS,BRIEF,0017,11.0301,nan
HARRIS,BRIEF,0018,8.53557,nan
HARRIS,ORB,0001,12.2891,nan
HARRIS,ORB,0002,13.3547,80.7525
HARRIS,ORB,0003,16.3845,-18.2644
HARRIS,ORB,0004,14.0764,11.36
HARRIS,ORB,0005,12.7299,9.58956
HARRIS,ORB,0006,13.7511,27.8744
HARRIS,ORB,0007,13.7314,13.342
HARRIS,ORB,0008,13.7901,12.9162
HARRIS,ORB,0009,12.059,nan
HARRIS,ORB,0010,11.8642,nan
HARRIS,ORB,0011,11.9682,23.3405
HARRIS,ORB,0012,9.88711,7.20938
HARRIS,ORB,0013,9.42504,13.4095
HARRIS,ORB,0014,9.30215,5.79954
HARRIS,ORB,0015,8.3212,-14.7808
HARRIS,ORB,0016,8.89867,6.60338
HARRIS,ORB,0017,11.0301,nan
HARRIS,ORB,0018,8.53557,nan
HARRIS,FREAK,0001,12.2891,nan
HARRIS,FREAK,0002,13.3547,nan
HARRIS,FREAK,0003,16.3845,-18.2644
HARRIS,FREAK,0004,14.0764,11.7693
HARRIS,FREAK,0005,12.7299,-inf
HARRIS,FREAK,0006,13.7511,12.9945
HARRIS,FREAK,0007,13.7314,12.9162
HARRIS,FREAK,0008,13.7901,12.6385
HARRIS,FREAK,0009,12.059,nan
HARRIS,FREAK,0010,11.8642,10.2931
HARRIS,FREAK,0011,11.9682,23.3405
HARRIS,FREAK,0012,9.88711,7.20938
HARRIS,FREAK,0013,9.42504,26.819
HARRIS,FREAK,0014,9.30215,12.1403
HARRIS,FREAK,0015,8.3212,-12.3391
HARRIS,FREAK,0016,8.89867,6.45749
HARRIS,FREAK,0017,11.0301,nan
HARRIS,FREAK,0018,8.53557,nan
HARRIS,SIFT,0001,12.2891,nan
HARRIS,SIFT,0002,13.3547,-48.5695
HARRIS,SIFT,0003,16.3845,48.2139
HARRIS,SIFT,0004,14.0764,11.36
HARRIS,SIFT,0005,12.7299,9.58956
HARRIS,SIFT,0006,13.7511,35.1868
HARRIS,SIFT,0007,13.7314,13.342
HARRIS,SIFT,0008,13.7901,12.9162
HARRIS,SIFT,0009,12.059,-16.1946
HARRIS,SIFT,0010,11.8642,-6.72026
HARRIS,SIFT,0011,11.9682,11.6702
HARRIS,SIFT,0012,9.88711,7.20938
HARRIS,SIFT,0013,9.42504,13.4095
HARRIS,SIFT,0014,9.30215,12.9547
HARRIS,SIFT,0015,8.3212,75.249
HARRIS,SIFT,0016,8.89867,7.29175
HARRIS,SIFT,0017,11.0301,nan
